Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2013,Victor Martinez,DET,159,668,9.30%,32.10%,87.30%,62.60%,92.40%,41.70%,56.00%,4.30%,22.80%,2601,0.448,0.902,232,195,124,
2014,Brian Dozier,MIN,156,707,18.20%,27.60%,79.10%,52.00%,87.80%,44.20%,61.10%,6.00%,28.70%,2956,0.384,0.843,176,203,94,
2019,Kevin Newman,PIT,130,531,11.70%,37.30%,77.20%,69.40%,94.30%,41.80%,63.80%,6.60%,22.60%,1882,0.507,0.87,212,122,95,
2018,Mallex Smith,TBR,141,544,18.00%,29.60%,64.00%,72.60%,82.90%,44.90%,61.20%,11.50%,25.80%,2061,0.489,0.766,186,95,93,
2014,Brandon Moss,OAK,147,580,26.40%,32.80%,56.10%,67.60%,85.40%,40.90%,57.80%,12.40%,26.90%,2357,0.47,0.733,105,169,73,
2014,Charlie Blackmon,COL,154,648,14.80%,37.90%,75.20%,70.00%,92.60%,43.20%,63.70%,7.50%,22.20%,2460,0.518,0.854,205,183,107,
2016,Curtis Granderson,NYM,150,633,20.50%,20.90%,59.90%,58.10%,89.40%,42.20%,55.00%,7.40%,29.50%,2692,0.366,0.797,152,176,90,
2013,Coco Crisp,OAK,131,584,11.10%,22.20%,74.90%,63.30%,92.90%,45.50%,58.00%,5.10%,24.90%,2355,0.409,0.876,183,178,88,
2017,Shin-Soo Choo,TEX,149,636,21.10%,21.60%,59.50%,65.10%,86.30%,46.20%,58.20%,8.80%,27.00%,2545,0.417,0.788,201,108,103,
2017,Mookie Betts,BOS,153,712,11.10%,22.00%,72.60%,53.80%,92.70%,43.80%,56.70%,5.10%,28.70%,2804,0.36,0.858,224,237,93,
2016,Kendrys Morales,KCR,154,618,19.40%,33.40%,62.60%,68.70%,87.90%,41.60%,55.30%,10.70%,26.10%,2468,0.481,0.776,196,158,89,
2011,Ryan Roberts,ARI,143,555,17.70%,23.90%,64.70%,65.80%,88.60%,45.70%,56.40%,8.00%,26.20%,2147,0.431,0.814,133,157,93,
2013,James Loney,TBR,158,598,12.90%,32.10%,84.40%,66.30%,92.00%,41.20%,59.50%,5.10%,23.40%,2221,0.462,0.889,201,133,142,
2012,Kendrys Morales,LAA,134,522,22.20%,35.60%,61.80%,70.40%,85.50%,40.90%,59.60%,12.20%,27.20%,2063,0.499,0.755,190,105,76,
2014,Matt Carpenter,STL,158,709,15.70%,19.00%,79.50%,49.40%,94.80%,45.30%,57.70%,3.30%,30.20%,3101,0.328,0.899,200,172,116,
2017,Josh Bell,PIT,159,620,18.90%,26.70%,69.70%,66.00%,85.00%,42.80%,55.00%,8.90%,24.90%,2551,0.435,0.796,223,136,77,
2015,Josh Reddick,OAK,149,582,11.20%,28.60%,73.30%,63.70%,93.30%,41.80%,55.80%,6.20%,24.70%,2296,0.433,0.856,178,188,97,
2011,Adam Jones,BAL,151,618,18.30%,43.20%,63.60%,71.80%,86.90%,43.70%,63.90%,12.90%,26.10%,2226,0.557,0.768,225,150,80,
2018,Carlos Gonzalez,COL,132,504,22.40%,35.30%,60.10%,74.00%,81.80%,38.50%,60.50%,13.80%,25.40%,1885,0.502,0.724,168,126,57,
2017,Asdrubal Cabrera,NYM,135,540,15.40%,28.40%,70.60%,70.00%,88.90%,44.20%,58.50%,8.10%,22.60%,2062,0.468,0.827,173,144,81,
2010,Drew Stubbs,CIN,150,583,28.80%,24.20%,54.20%,64.30%,79.90%,47.10%,62.10%,11.80%,30.40%,2338,0.431,0.723,150,138,53,
2019,Franmil Reyes,- - -,150,548,28.50%,34.30%,48.30%,77.60%,76.80%,39.80%,62.60%,17.80%,30.20%,2119,0.515,0.654,152,119,74,
2015,Xander Bogaerts,BOS,156,654,15.40%,35.60%,70.00%,64.00%,88.60%,47.30%,62.40%,9.10%,28.20%,2530,0.49,0.815,271,132,109,
2011,Jon Jay,STL,159,503,16.10%,31.10%,67.70%,68.10%,92.00%,43.50%,60.80%,8.00%,24.40%,1826,0.472,0.83,202,87,84,
2016,Odubel Herrera,PHI,159,656,20.40%,34.60%,67.30%,68.30%,85.80%,40.90%,58.70%,10.60%,24.90%,2643,0.484,0.78,206,142,96,
2018,Joey Wendle,TBR,139,545,17.60%,35.90%,70.20%,62.70%,91.40%,39.50%,57.10%,8.60%,28.00%,1981,0.465,0.815,184,129,87,
2011,Starlin Castro,CHC,158,715,13.40%,32.30%,70.80%,67.50%,92.90%,46.10%,59.60%,7.30%,24.30%,2627,0.485,0.85,283,182,117,
2014,Marcell Ozuna,MIA,153,612,26.80%,32.00%,50.00%,65.40%,83.30%,44.10%,63.10%,13.70%,31.70%,2388,0.467,0.705,197,137,71,
2010,Johnny Damon,DET,145,613,14.70%,28.10%,72.90%,65.80%,90.60%,43.30%,58.20%,7.10%,24.40%,2517,0.444,0.842,198,166,84,
2013,Stephen Drew,BOS,124,501,24.80%,24.40%,61.20%,60.80%,86.30%,44.10%,58.50%,8.90%,29.80%,2052,0.404,0.778,107,134,81,
2015,Chris Coghlan,CHC,148,503,18.70%,23.20%,63.30%,69.70%,89.60%,44.80%,56.10%,7.90%,24.50%,2016,0.44,0.819,157,117,69,
2010,Dexter Fowler,COL,132,505,20.60%,19.70%,64.70%,65.80%,87.50%,47.90%,59.20%,7.50%,25.00%,2046,0.418,0.819,148,109,71,
2015,Starling Marte,PIT,153,633,19.40%,39.40%,59.00%,77.50%,85.80%,45.80%,69.50%,13.70%,25.70%,2281,0.568,0.758,242,102,106,
2015,Adrian Beltre,TEX,143,619,10.50%,35.90%,75.40%,64.30%,90.40%,44.10%,61.90%,7.60%,25.30%,2288,0.484,0.842,212,182,116,
2018,Jose Abreu,CHW,128,553,19.70%,37.20%,66.90%,65.90%,86.90%,41.10%,62.40%,10.80%,28.00%,2108,0.49,0.779,175,137,84,
2018,Starling Marte,PIT,145,606,18.00%,36.10%,60.80%,77.20%,87.30%,42.70%,63.40%,12.30%,23.70%,2267,0.536,0.771,225,143,76,
2011,Torii Hunter,LAA,156,649,19.30%,29.10%,60.90%,65.50%,85.60%,45.60%,62.60%,10.40%,27.60%,2528,0.457,0.771,207,151,95,
2015,Dee Strange-Gordon,MIA,145,653,13.90%,37.50%,79.10%,65.00%,93.70%,47.00%,64.90%,6.10%,23.40%,2248,0.504,0.88,297,93,107,
2013,Kyle Seager,SEA,160,695,17.60%,25.90%,68.50%,63.00%,90.30%,43.00%,57.30%,7.30%,26.10%,2823,0.419,0.826,170,223,103,
2013,Chris Carter,HOU,148,585,36.20%,27.60%,45.10%,67.30%,76.00%,44.10%,59.70%,15.50%,32.30%,2464,0.451,0.654,92,140,67,
2014,Matt Adams,STL,142,563,20.20%,41.40%,69.00%,69.30%,90.60%,40.00%,59.00%,10.30%,25.40%,2050,0.526,0.804,145,173,102,
2010,Adam Jones,BAL,149,621,19.20%,39.50%,62.00%,71.00%,84.00%,45.30%,65.20%,13.30%,28.40%,2267,0.538,0.751,210,167,77,
2013,Nick Swisher,CLE,145,634,21.80%,24.60%,56.80%,66.30%,86.10%,40.30%,58.40%,10.00%,27.90%,2522,0.414,0.757,158,161,96,
2017,Brett Gardner,NYY,151,682,17.90%,21.20%,72.30%,53.10%,91.80%,46.30%,52.30%,5.20%,28.50%,2890,0.36,0.857,209,156,105,
2010,Brandon Phillips,CIN,155,687,12.10%,33.10%,69.40%,75.40%,88.70%,44.10%,57.90%,9.40%,21.70%,2487,0.517,0.818,278,180,83,
2016,Rougned Odor,TEX,150,632,21.40%,41.80%,65.00%,71.30%,88.20%,42.50%,61.40%,12.00%,26.00%,2177,0.543,0.779,185,194,81,
2010,Michael Young,TEX,157,718,16.00%,29.60%,67.80%,68.00%,88.30%,49.40%,58.80%,8.60%,23.50%,2730,0.485,0.82,262,188,102,
2013,Howie Kendrick,LAA,122,513,17.30%,40.20%,67.80%,69.30%,88.60%,45.30%,62.00%,10.50%,25.70%,1925,0.534,0.8,200,83,107,
2016,Logan Forsythe,TBR,127,567,22.40%,22.10%,64.70%,58.70%,85.40%,47.70%,62.80%,8.20%,30.40%,2352,0.396,0.794,162,136,88,
2016,Ian Desmond,TEX,156,677,23.60%,30.80%,55.60%,64.00%,83.40%,47.20%,65.70%,12.20%,31.20%,2572,0.465,0.737,249,121,96,
2019,Marcell Ozuna,STL,130,549,20.80%,30.00%,57.80%,69.20%,86.00%,37.80%,58.80%,11.50%,27.10%,2260,0.449,0.743,154,131,87,
2018,Josh Bell,PIT,148,583,17.80%,26.70%,65.40%,67.80%,84.50%,39.50%,55.40%,9.70%,25.20%,2366,0.429,0.773,194,130,76,
2012,Nelson Cruz,TEX,159,642,21.80%,27.30%,60.00%,71.10%,80.40%,46.40%,56.70%,12.30%,27.40%,2467,0.476,0.741,183,183,83,
2019,Jonathan Villar,BAL,162,714,24.60%,30.80%,63.50%,75.10%,81.40%,41.40%,63.20%,12.30%,26.30%,2843,0.491,0.749,225,144,91,
2016,Martin Prado,MIA,153,658,10.50%,27.30%,81.50%,53.50%,96.00%,47.80%,64.00%,3.60%,28.80%,2567,0.398,0.908,254,148,133,
2015,Stephen Vogt,OAK,136,511,19.00%,29.60%,73.50%,58.00%,90.40%,42.30%,55.20%,6.80%,27.00%,2102,0.416,0.835,134,144,78,
2015,Robinson Cano,SEA,156,674,15.90%,32.40%,69.10%,73.20%,90.40%,43.30%,59.10%,8.70%,23.40%,2445,0.501,0.826,263,132,126,
2011,Peter Bourjos,LAA,147,552,22.50%,32.30%,58.70%,63.00%,85.20%,46.20%,62.90%,11.50%,28.70%,1999,0.465,0.753,163,127,58,
2014,Torii Hunter,DET,142,586,15.20%,35.40%,63.30%,73.70%,87.40%,46.50%,63.70%,11.20%,25.10%,2001,0.532,0.789,221,144,99,
2017,Wil Myers,SDP,155,649,27.70%,29.00%,62.20%,64.30%,84.00%,42.70%,58.60%,10.70%,27.60%,2669,0.441,0.758,147,168,77,
2012,Pedro Alvarez,PIT,149,586,30.70%,33.40%,55.50%,69.00%,82.30%,39.50%,63.10%,13.70%,29.50%,2281,0.474,0.709,163,120,65,
2019,Manny Machado,SDP,156,661,19.40%,31.40%,62.50%,69.80%,87.60%,39.60%,61.60%,10.50%,25.70%,2418,0.466,0.774,193,190,79,
2012,Jose Reyes,MIA,160,716,7.80%,30.10%,80.00%,62.60%,93.50%,42.40%,59.90%,5.10%,23.90%,2507,0.438,0.881,265,185,125,
2011,Emilio Bonifacio,FLA,152,641,20.10%,28.20%,71.60%,56.50%,86.10%,43.20%,56.60%,7.90%,28.40%,2582,0.404,0.804,217,94,98,
2016,Cesar Hernandez,PHI,155,622,18.60%,24.30%,63.10%,68.00%,89.90%,45.90%,58.80%,8.00%,24.50%,2427,0.443,0.82,225,85,100,
2015,Joc Pederson,LAD,151,585,29.10%,26.50%,48.90%,65.00%,77.00%,41.30%,56.90%,14.00%,30.00%,2464,0.424,0.667,130,132,49,
2017,Didi Gregorius,NYY,136,570,12.30%,40.80%,69.10%,81.30%,88.00%,42.90%,61.80%,11.40%,20.20%,2069,0.582,0.804,170,206,94,
2015,Troy Tulowitzki,- - -,128,534,21.30%,29.70%,68.40%,63.70%,85.00%,45.60%,57.90%,9.40%,27.80%,2111,0.452,0.791,154,139,83,
2013,Brett Gardner,NYY,145,609,20.90%,29.10%,80.00%,55.00%,91.70%,42.50%,57.30%,5.30%,27.00%,2577,0.401,0.868,165,141,93,
2012,Mark Reynolds,BAL,135,538,29.60%,24.60%,52.10%,66.90%,76.20%,44.00%,58.00%,13.50%,29.80%,2296,0.432,0.685,111,127,61,
2018,Chris Taylor,LAD,155,604,29.50%,25.80%,53.40%,72.30%,78.50%,46.30%,62.60%,13.70%,29.00%,2475,0.474,0.712,121,140,99,
2015,Ian Kinsler,DET,154,675,11.90%,28.00%,77.20%,69.60%,94.50%,46.30%,60.40%,5.20%,22.50%,2526,0.472,0.89,184,221,138,
2017,Todd Frazier,- - -,147,576,21.70%,25.00%,67.10%,60.20%,82.20%,43.30%,55.70%,9.30%,27.50%,2493,0.402,0.769,121,168,65,
2015,Kyle Seager,SEA,161,686,14.30%,29.40%,69.50%,64.20%,90.80%,46.40%,58.50%,7.50%,25.10%,2537,0.456,0.834,185,214,126,
2012,Chris Johnson,- - -,136,528,25.00%,36.40%,59.20%,66.60%,87.50%,44.50%,60.00%,11.90%,27.40%,2116,0.498,0.76,142,126,92,
2019,Jose Ramirez,CLE,129,542,13.70%,26.40%,76.80%,64.20%,92.30%,42.10%,56.60%,5.60%,24.30%,2173,0.423,0.867,136,192,85,
2010,Angel Pagan,NYM,151,633,15.30%,31.30%,76.40%,64.20%,93.20%,44.80%,55.30%,6.00%,23.20%,2340,0.46,0.869,170,205,91,
2016,Adrian Gonzalez,LAD,156,633,18.50%,32.20%,66.70%,73.30%,87.10%,40.20%,56.10%,10.10%,23.10%,2394,0.487,0.79,210,125,120,
2013,Ben Zobrist,TBR,157,698,13.00%,23.60%,78.40%,59.90%,90.50%,44.30%,57.40%,5.30%,25.40%,2550,0.397,0.865,224,196,103,
2017,Robinson Cano,SEA,150,648,13.10%,34.90%,70.80%,73.30%,90.60%,44.60%,59.90%,8.70%,21.20%,2315,0.52,0.832,255,156,99,
2019,Avisail Garcia,TBR,125,530,23.60%,40.00%,54.40%,81.90%,80.60%,39.10%,62.30%,17.30%,26.60%,1894,0.564,0.693,169,116,82,
2015,Adam Jones,BAL,137,581,17.60%,46.50%,66.60%,80.60%,87.50%,40.00%,65.40%,13.30%,22.40%,1996,0.601,0.778,203,161,79,
2015,Gerardo Parra,- - -,155,589,15.60%,39.40%,71.30%,73.10%,91.10%,44.20%,66.40%,9.20%,22.60%,2085,0.543,0.831,210,132,107,
2013,Ian Kinsler,TEX,136,614,9.60%,23.20%,76.60%,59.40%,96.10%,47.40%,58.30%,3.90%,25.30%,2384,0.404,0.902,182,194,117,
2012,Neil Walker,PIT,129,530,19.60%,33.60%,71.40%,63.50%,90.50%,39.70%,55.30%,8.20%,26.00%,2046,0.455,0.82,157,125,89,
2017,Adam Jones,BAL,147,635,17.80%,44.10%,65.10%,78.90%,88.20%,40.30%,59.20%,13.00%,22.70%,2285,0.581,0.777,217,166,101,
2019,Kolten Wong,STL,148,549,15.10%,31.40%,70.70%,69.60%,92.10%,41.80%,57.00%,7.70%,23.90%,2012,0.474,0.838,168,136,78,
2017,Tim Beckham,- - -,137,575,29.00%,33.80%,53.10%,70.70%,80.40%,44.90%,62.30%,15.00%,30.00%,2313,0.504,0.703,177,107,79,
2012,Angel Pagan,SFG,154,659,14.70%,29.10%,79.10%,61.60%,93.70%,43.10%,56.60%,5.10%,24.60%,2476,0.431,0.881,213,179,114,
2017,Jean Segura,SEA,125,566,14.70%,33.80%,76.70%,66.10%,90.10%,47.70%,59.70%,7.20%,24.20%,2186,0.492,0.853,239,116,85,
2014,Aramis Ramirez,MIL,133,531,14.10%,38.50%,68.40%,79.30%,87.70%,42.80%,62.10%,11.10%,21.70%,1805,0.56,0.801,163,164,95,
2011,Dan Uggla,ATL,161,672,23.20%,26.50%,54.20%,68.70%,82.30%,45.20%,58.60%,12.10%,28.60%,2612,0.456,0.734,184,194,69,
2014,Adam Dunn,- - -,131,511,31.10%,21.40%,46.30%,65.10%,79.10%,41.80%,56.20%,12.30%,30.20%,2196,0.397,0.688,91,118,65,
2016,Matt Kemp,- - -,156,672,23.20%,40.70%,58.30%,75.00%,83.00%,42.90%,63.20%,15.00%,27.60%,2434,0.554,0.726,191,190,98,
2015,Odubel Herrera,PHI,147,537,24.00%,34.80%,61.40%,67.80%,86.70%,42.60%,62.90%,11.60%,28.00%,2155,0.489,0.764,169,105,84,
2018,Carlos Santana,PHI,161,679,13.70%,24.10%,74.20%,65.50%,87.00%,41.40%,58.00%,7.20%,24.10%,2801,0.413,0.826,191,207,76,
2013,Neil Walker,PIT,133,551,15.40%,30.60%,65.90%,67.10%,90.10%,41.10%,59.70%,8.80%,24.90%,2042,0.456,0.806,151,151,90,
2016,J.T. Realmuto,MIA,137,545,18.30%,32.50%,70.70%,66.40%,89.10%,46.00%,63.30%,8.50%,25.50%,2142,0.481,0.824,203,125,84,
2015,Albert Pujols,LAA,157,661,10.90%,31.20%,73.70%,64.90%,92.70%,44.40%,56.00%,6.60%,24.40%,2514,0.462,0.856,223,225,85,
2016,Brad Miller,TBR,152,601,24.80%,32.40%,65.20%,71.60%,81.80%,42.70%,60.90%,12.00%,27.20%,2324,0.491,0.755,179,147,74,
2014,Ben Zobrist,TBR,146,654,12.80%,23.50%,77.80%,58.40%,91.70%,42.20%,57.20%,5.00%,27.10%,2563,0.383,0.868,238,160,90,
2018,Brian Anderson,MIA,156,670,19.30%,28.10%,65.00%,68.60%,84.90%,44.60%,58.20%,10.10%,26.00%,2641,0.462,0.782,240,132,91,
2011,Melvin Upton Jr.,TBR,153,640,25.20%,26.70%,60.00%,70.70%,84.00%,45.00%,62.80%,10.90%,25.90%,2472,0.465,0.764,163,163,73,
2011,Nick Markakis,BAL,160,716,10.50%,25.40%,82.70%,61.80%,92.30%,44.90%,55.30%,4.50%,25.40%,2784,0.418,0.891,243,196,132,
2012,Alejandro De Aza,CHW,131,585,18.60%,27.40%,61.40%,62.00%,92.20%,44.20%,59.70%,8.00%,26.20%,2320,0.427,0.812,168,129,105,
2016,Adam Duvall,CIN,150,608,27.00%,34.10%,57.10%,69.70%,85.90%,44.00%,63.80%,12.50%,28.80%,2225,0.498,0.748,134,185,77,
2019,Daniel Vogelbach,SEA,144,558,26.70%,22.00%,64.40%,52.20%,81.10%,40.00%,52.00%,8.60%,31.80%,2532,0.341,0.746,104,141,70,
2015,Dexter Fowler,CHC,156,690,22.30%,20.90%,63.70%,67.80%,86.80%,43.30%,59.00%,8.20%,25.00%,2819,0.412,0.802,190,160,89,
2010,Lyle Overbay,TOR,154,608,21.50%,24.30%,55.70%,66.30%,87.00%,42.40%,56.70%,9.80%,26.20%,2370,0.421,0.766,183,158,65,
2013,Austin Jackson,DET,129,614,21.00%,25.90%,61.10%,62.90%,89.30%,48.40%,60.30%,8.50%,28.50%,2390,0.438,0.807,177,130,117,
2017,Whit Merrifield,KCR,145,630,14.00%,34.30%,70.90%,68.80%,91.80%,47.10%,61.70%,7.90%,24.40%,2370,0.505,0.843,188,202,109,
2012,Asdrubal Cabrera,CLE,143,616,16.10%,29.20%,70.40%,70.40%,91.10%,44.90%,60.90%,7.50%,22.20%,2279,0.477,0.841,186,161,106,
2012,Ryan Doumit,MIN,134,528,18.60%,34.60%,63.90%,65.60%,87.60%,44.00%,56.10%,10.50%,26.40%,2006,0.482,0.781,164,141,88,
2017,Andrew Benintendi,BOS,151,658,17.00%,29.00%,71.20%,64.50%,89.40%,42.20%,54.70%,7.70%,25.40%,2533,0.44,0.825,187,179,100,
2017,Josh Harrison,PIT,128,542,16.60%,35.60%,72.60%,73.30%,84.30%,45.40%,62.00%,10.50%,24.10%,2029,0.527,0.8,143,160,89,
2017,J.T. Realmuto,MIA,141,579,18.30%,32.40%,69.10%,65.40%,89.30%,48.00%,61.50%,8.60%,26.20%,2171,0.482,0.822,205,147,77,
2012,David DeJesus,CHC,148,582,15.30%,25.10%,74.60%,60.70%,93.10%,42.10%,61.50%,5.40%,26.50%,2370,0.401,0.864,171,148,98,
2010,Jeff Keppinger,HOU,137,575,6.30%,20.20%,82.80%,57.10%,96.70%,48.50%,57.90%,2.70%,25.70%,2208,0.381,0.929,244,142,94,
2015,Brandon Crawford,SFG,143,561,21.20%,34.60%,56.20%,76.10%,84.20%,42.80%,62.40%,13.60%,26.30%,2169,0.524,0.736,185,130,73,
2019,Joey Votto,CIN,142,608,20.20%,21.00%,69.30%,68.10%,87.70%,43.40%,59.00%,7.30%,25.00%,2458,0.415,0.824,150,153,102,
2018,Asdrubal Cabrera,- - -,147,592,20.10%,32.30%,69.80%,71.80%,85.90%,42.20%,60.60%,9.90%,25.20%,2232,0.49,0.798,179,165,81,
2013,Adam Dunn,CHW,149,607,31.10%,23.80%,52.40%,64.40%,78.80%,41.50%,56.80%,12.20%,29.70%,2606,0.406,0.698,130,143,66,
2013,Justin Smoak,SEA,131,521,22.80%,28.70%,63.70%,67.60%,87.30%,40.50%,56.00%,9.70%,25.40%,2101,0.445,0.782,117,153,66,
2019,Christian Vazquez,BOS,138,521,19.40%,35.20%,70.80%,69.00%,88.40%,43.50%,64.10%,9.30%,25.70%,2013,0.499,0.814,150,144,88,
2014,Brett Gardner,NYY,148,636,21.10%,21.80%,73.90%,56.20%,92.80%,43.20%,57.10%,5.00%,29.00%,2821,0.366,0.864,176,155,91,
2012,Matt Wieters,BAL,144,593,18.90%,32.20%,68.90%,67.50%,87.10%,40.30%,57.20%,9.40%,25.00%,2290,0.464,0.796,184,148,85,
2015,Matt Duffy,SFG,149,612,15.70%,30.70%,69.10%,64.10%,91.90%,45.60%,64.40%,7.50%,25.60%,2271,0.459,0.836,252,127,100,
2019,Asdrubal Cabrera,- - -,131,514,20.00%,28.80%,70.50%,67.10%,87.30%,43.10%,58.00%,8.50%,25.40%,2089,0.453,0.812,134,132,83,
2018,Trea Turner,WSN,162,740,17.80%,26.60%,67.70%,65.00%,88.40%,44.10%,62.40%,8.10%,26.70%,2927,0.436,0.813,255,172,93,
2011,Derek Jeter,NYY,131,607,13.30%,28.10%,73.00%,68.60%,91.10%,45.70%,58.50%,6.90%,22.00%,2337,0.466,0.851,289,86,88,
2013,Pablo Sandoval,SFG,141,584,13.50%,44.30%,80.80%,78.50%,86.70%,33.10%,60.80%,9.10%,18.50%,2164,0.556,0.836,187,168,96,
2010,Jonny Gomes,CIN,148,571,21.50%,36.20%,58.00%,70.70%,85.50%,41.50%,60.60%,13.00%,28.00%,2017,0.505,0.74,115,200,82,
2014,Trevor Plouffe,MIN,136,582,18.70%,25.40%,64.50%,63.70%,88.10%,44.00%,60.50%,8.30%,27.40%,2288,0.422,0.801,158,168,89,
2016,Gregory Polanco,PIT,144,587,20.30%,31.00%,66.80%,70.10%,91.50%,38.80%,53.50%,8.50%,24.00%,2401,0.462,0.813,160,153,99,
2010,Shane Victorino,PHI,147,648,12.20%,29.10%,73.90%,57.80%,93.00%,47.30%,57.90%,5.80%,27.80%,2380,0.427,0.861,227,190,88,
2013,Nate Schierholtz,CHC,137,503,18.70%,34.60%,68.30%,74.10%,87.80%,39.50%,57.30%,10.10%,24.50%,1971,0.502,0.797,147,148,75,
2012,Ike Davis,NYM,156,584,24.10%,28.90%,60.30%,68.00%,83.80%,40.00%,62.80%,11.30%,28.00%,2364,0.445,0.746,148,152,80,
2016,Albert Pujols,LAA,152,650,11.50%,32.10%,75.20%,63.90%,92.30%,44.20%,55.80%,6.60%,24.30%,2516,0.462,0.857,230,207,87,
2015,Carlos Santana,CLE,154,666,18.30%,21.10%,69.80%,57.90%,89.50%,42.40%,48.20%,6.20%,25.00%,2863,0.367,0.83,192,160,79,
2010,Ichiro Suzuki,SEA,162,732,11.70%,34.90%,80.90%,67.50%,94.20%,44.60%,59.00%,5.30%,21.70%,2738,0.494,0.89,335,148,101,
2019,Yasiel Puig,- - -,149,611,21.80%,34.20%,59.30%,77.80%,83.20%,42.10%,60.60%,13.60%,24.80%,2247,0.526,0.742,162,173,90,
2014,Lorenzo Cain,KCR,133,502,21.50%,34.60%,59.10%,66.70%,88.80%,45.80%,66.70%,11.00%,28.00%,1853,0.493,0.776,186,95,83,
2014,Khris Davis,MIL,144,549,22.20%,30.00%,52.50%,74.40%,81.70%,45.40%,57.20%,14.00%,27.50%,2069,0.502,0.722,149,152,82,
2012,Jordan Pacheco,COL,132,505,12.10%,31.80%,77.70%,64.70%,92.10%,48.70%,62.40%,6.10%,24.60%,1733,0.478,0.872,177,130,110,
2013,Alex Rios,- - -,156,662,16.30%,28.00%,69.50%,60.00%,92.70%,47.60%,57.70%,6.50%,27.00%,2497,0.432,0.848,223,178,109,
2018,Denard Span,- - -,137,501,15.80%,23.90%,74.10%,65.40%,92.60%,45.70%,62.70%,5.60%,24.50%,1935,0.428,0.87,144,120,95,
2018,Ketel Marte,ARI,153,580,13.60%,28.10%,77.50%,68.40%,90.40%,43.20%,58.40%,6.40%,22.90%,2177,0.455,0.859,226,128,87,
2013,Desmond Jennings,TBR,139,602,19.10%,22.90%,65.20%,61.50%,84.00%,46.80%,57.60%,8.90%,28.70%,2428,0.41,0.784,192,147,70,
2017,Curtis Granderson,- - -,147,527,23.30%,21.60%,65.30%,57.40%,90.20%,46.20%,57.50%,6.60%,28.00%,2382,0.382,0.826,107,160,61,
2019,Kole Calhoun,LAA,152,632,25.60%,29.00%,48.50%,75.20%,80.90%,41.40%,59.30%,14.70%,27.80%,2389,0.481,0.695,159,144,87,
2012,Justin Morneau,MIN,134,570,17.90%,37.90%,67.50%,75.80%,86.90%,42.40%,60.40%,11.10%,23.10%,2119,0.54,0.79,171,152,90,
2014,Conor Gillaspie,CHW,130,506,15.40%,33.00%,72.70%,70.30%,92.00%,43.60%,57.30%,7.50%,21.90%,1846,0.493,0.847,153,151,84,
2010,Michael Cuddyer,MIN,157,675,13.80%,33.30%,69.90%,63.60%,91.90%,45.20%,57.00%,7.80%,24.50%,2498,0.47,0.833,259,171,90,
2016,Marcell Ozuna,MIA,148,608,18.90%,32.90%,58.80%,66.50%,86.30%,42.20%,63.20%,11.60%,28.00%,2225,0.471,0.752,196,163,87,
2013,Pedro Alvarez,PIT,152,614,30.30%,34.70%,48.70%,72.60%,78.90%,39.10%,57.80%,16.60%,30.10%,2415,0.495,0.66,162,137,77,
2017,Scott Schebler,CIN,141,531,23.50%,35.00%,58.50%,76.40%,82.00%,42.00%,58.20%,14.20%,25.20%,1886,0.524,0.729,160,134,57,
2014,Marlon Byrd,PHI,154,637,29.00%,42.20%,55.70%,76.80%,81.60%,43.30%,63.90%,16.50%,27.90%,2394,0.572,0.708,151,165,93,
2019,Ryan McMahon,COL,141,539,29.70%,29.20%,54.50%,76.70%,78.30%,42.80%,62.70%,14.70%,26.70%,2249,0.495,0.703,162,89,68,
2019,Andrew Benintendi,BOS,138,615,22.80%,32.90%,68.90%,78.60%,82.60%,39.90%,61.80%,11.60%,23.30%,2435,0.512,0.773,155,165,85,
2013,Chase Headley,SDP,141,600,23.70%,27.70%,58.40%,74.00%,83.50%,39.20%,57.70%,11.70%,26.00%,2374,0.459,0.743,175,119,86,
2011,Chris Young,ARI,156,659,21.10%,25.90%,57.90%,61.40%,85.80%,46.50%,56.10%,9.90%,28.50%,2627,0.425,0.767,136,210,85,
2010,Mark Reynolds,ARI,145,596,35.40%,25.20%,45.70%,73.10%,69.50%,42.90%,62.10%,17.20%,30.90%,2571,0.457,0.62,93,161,39,
2014,Jason Heyward,ATL,149,649,15.10%,27.30%,70.20%,63.90%,88.90%,43.30%,53.90%,7.70%,25.20%,2548,0.432,0.822,217,170,90,
2016,Justin Upton,DET,153,626,28.60%,25.70%,56.90%,65.90%,78.50%,45.80%,55.60%,12.40%,29.60%,2606,0.441,0.717,152,169,72,
2010,Starlin Castro,CHC,125,506,14.00%,31.40%,74.80%,64.90%,91.80%,46.70%,62.80%,6.60%,24.60%,1839,0.471,0.857,202,115,77,
2019,Vladimir Guerrero Jr.,TOR,123,514,17.70%,31.60%,63.70%,71.90%,87.20%,37.80%,64.20%,10.60%,25.50%,1986,0.468,0.773,186,124,65,
2017,Chase Headley,NYY,147,586,22.50%,25.80%,58.50%,67.90%,84.60%,43.90%,59.40%,10.60%,28.00%,2331,0.443,0.761,166,121,95,
2013,Jean Segura,MIL,146,623,13.50%,33.80%,77.40%,63.60%,91.40%,43.40%,60.80%,6.70%,26.00%,2266,0.468,0.856,290,115,89,
